accountsservice 23.13.9-2
adwaita-icon-theme 46.0-1
alacritty 0.13.2-2
alsa-firmware 1.2.4-3
alsa-plugins 1:1.2.7.1-2
alsa-utils 1.2.11-1
annotator 1.2.1-1
arandr 0.1.11-3
aspell 0.60.8.1-2
audacity 1:3.5.1-1
b43-fwcutter 019-4
baobab 46.0-1
base 3-2
base-devel 1-1
bash-completion 2.11-3
betterlockscreen 4.2.0-1
bibata-cursor-theme 2.0.6-1
bind 9.18.26-1
bitwarden 2024.4.0-1
bleachbit 4.6.0-2
blueman 2.4.1-2
bluez 5.75-1
bluez-utils 5.75-1
brave-bin 1:1.65.123-1
brightnessctl 0.5.1-2
btrfs-progs 6.8-3
cantarell-fonts 1:0.303.1-1
caprine-ng-git 2.60.1.r1.g599c827-1
cider 1.6.2-8
cliphist 1:0.5.0-1
code 1.88.1-1
code-marketplace 1.87.0-2
cryptsetup 2.7.2-1
cups 1:2.4.8-1
cups-browsed 2.0.0-2
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
dconf-editor 45.0.1-1
deja-dup 45.2-1
device-mapper 2.03.23-3
diffutils 3.10-1
discord 0.0.51-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.90-1
dosfstools 4.2-3
downgrade 11.3.0-1
dracut 101-1
duf 0.8.1-2
dunst 1.11.0-1
e2fsprogs 1.47.0-2
efibootmgr 18-3
efitools 1.9.2-5
emacs 29.3-3
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 24.3-1
endeavouros-theming 24.04.1.2-1
eos-apps-info 24.2-1
eos-hooks 1.15-2
eos-log-tool 24-1
eos-packagelist 2.2.1-1
eos-quickstart 1.4.1-1
eos-rankmirrors 24.4-1
epiphany 46.0-1
ethtool 1:6.7-1
evince 46.1-1
exfatprogs 1.2.2-1
extension-manager 0.5.0-1
f2fs-tools 1.16.0-2
ffmpegthumbnailer 2.2.2-5
file-roller 44.1-1
firefox 125.0.2-1
